Número_punt_crític,Nom_Districte,Nom_Barri,Nom_Carrer,Número,Latitud,Longitud,Motiu,Nombre_visites_març_2018,Estat_març_2018,Nombre_visites_abril_2018,Estat_abril_2018,Nombre_visites_maig_2018,Estat_maig_2018,Nombre_visites_juny_2018,Estat_juny_2018,Nombre_visites_Juliol_2018,Estat_Juliol_2018,Nombre_visites_Agost_2018,Estat_Agost_2018,Nombre_visites_Setembre_2018,Estat_Setembre_2018,Nombre_visites_Octubre_2018,Estat_Octubre_2018,Nombre_visites_novembre_2018,Estat_novembre_2018,Nombre_visites_desembre_2018,Estat_desembre_2018
108,Horta Guinardó,el Guinardó,Jardins de Federica Montseny ,0,41.418696,2.175917,Alt ús de l’espai públic,5,5,3,6.33,9,4,10,6.06,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
109,Horta Guinardó,el Carmel,Carrer Calderón de la Barca,56,41.421542,2.155462,Alt ús de l’espai públic,6,13,4,14.5,9,8.33,10,10.83,6,15.83,3,9.33,2,35,2,16.5,2,5,4,6.75
110,Horta Guinardó,el Carmel,Carretera del Carmel,82,41.41727,2.15844,Mal ús de contenidors i/o papereres,6,1,4,3.5,9,4.44,10,5.3,6,3,3,8,2,6,2,1,2,8,4,6
111,Horta Guinardó,Can Baró,Carrer de José Millan González,1,41.4166737,2.159482,Mal ús de contenidors i/o papereres,5,15,4,11.5,9,10.56,10,9.69,6,4.5,3,11.67,2,29,2,3.5,2,2,4,9.25
112,Horta Guinardó,el Carmel,Carrer del Llobregós ,120,41.424484,2.156199,Mal ús de contenidors i/o papereres,6,6.17,4,3,9,4.67,10,6.95,6,19.33,3,1.33,7,3.71,9,4.89,10,7.5,10,1.6
113,Nou Barris,Ciutat Meridiana,Carrer de Les Agudes ,132,41.46132,2.17615,Punt poc accessible per els serveis de neteja,6,14.83,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
114,Nou Barris,Ciutat Meridiana,Carrer Pedraforca ,102,41.4623659,2.1755329,Alt ús de l’espai públic,6,6.67,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
115,Nou Barris,Torre Baró,Avinguda d'Escalopi Cancer,1,41.4600593,2.1814099,Mal ús de contenidors i/o papereres,6,0.83,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
116,Nou Barris,Ciutat Meridiana,Carrer de Vallcivera ,17,41.460138,2.177673,Mala praxi comercial,6,14.33,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
117,Nou Barris,les Roquetes,Plaça Roquetes,,41.448278,2.176722,Propietaris d'animals incívics,6,24.5,4,19.25,6,17.5,6,12.17,6,13.83,4,5.75,2,3.5,1,4,2,4,3,8.67
118,Nou Barris,la Prosperitat,Carrer d'Enric Casanovas,49,41.440825,2.179353,Mal ús de contenidors i/o papereres,6,10.83,2,5,5,15.8,6,16.5,6,13.17,4,7.5,9,8.78,11,5.55,11,4.18,6,5
119,Nou Barris,la Prosperitat,Carrer de la Font d'en Canyelles,20,41.439517,2.177664,Mala praxi comercial,6,10,3,12,6,8.67,6,9.67,6,19,4,18.25,8,9.25,11,8.27,11,5.18,6,5.67
120,Nou Barris,la Prosperitat,Via Júlia ,144,41.4442,2.17909,Mala praxi comercial,6,15.5,3,11.67,6,4.33,6,16.17,6,6.67,4,8,8,24.88,11,4,11,4.45,6,7.5
121,Nou Barris,el Turó de la Peira,Carrer d'Aneto ,34,41.433089,2.169978,Mala praxi comercial,6,7.92,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
122,Nou Barris,Vilapicina i la Torre Llobeta,Plaça d'Alvaro Cunqueiro,,41.428167,2.169432,Alt ús de l’espai públic,6,23.5,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
123,Nou Barris,Vilapicina i la Torre Llobeta,Carrer Serrano ,40,41.428806,2.173412,Mal ús de contenidors i/o papereres,6,12.17,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
124,Nou Barris,el Turó de la Peira,Carrer del Cadí,19,41.431292,2.168451,Mala praxi comercial,6,5,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
125,Nou Barris,Vilapicina i la Torre Llobeta,Passeig de Fabra i puig,157,41.430125,2.178881,Mala praxi comercial,6,4.67,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
126,Nou Barris,Porta,Jardins del Petit Príncep,,41.431665,2.175382,Propietaris d'animals incívics,6,15.83,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
127,Nou Barris,Porta,Passeig de Fabra i puig,202,41.430386,2.178244,Mala praxi comercial,6,2.83,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
128,Nou Barris,Vilapicina i la Torre Llobeta,Plaça de Virrei Amat,9 bis,41.43015,2.175238,Mala praxi comercial,6,2.17,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
129,Sant Andreu,Navas,Carrer Espronceda,348,41.418379,2.187527,Mal ús de contenidors i/o papereres,6,10.17,5,6,7,4.57,6,14.83,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
130,Sant Andreu,Navas,Carrer Biscaia,381,41.41816,2.185157,Mala praxi comercial,6,6,5,4.4,7,7.57,6,7.67,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
131,Sant Andreu,la Sagrera,Avinguda Meridiana,267,41.422034,2.186475,Mala praxi comercial,6,22,5,4,6,1,6,5,Eliminat,Eliminat,Eliminat,Eliminat,1,0,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
132,Sant Andreu,Navas,Plaça Islàndia,1,41.41699,2.188553,Problemàtica social,6,1.33,5,2.2,7,6.29,6,4.5,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
133,Sant Andreu,Sant Andreu,Carrer Gran de Sant Andreu,146,41.431792,2.189423,Mala praxi comercial,5,8.8,4,3.25,7,13.86,6,3.83,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
134,Sant Andreu,Sant Andreu,Carrer Gran de Sant Andreu,266,41.435693,2.189805,Mala praxi comercial,5,15,4,5.75,7,11,6,4.5,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
135,Sant Andreu,Sant Andreu,Carrer de les Monges,10,41.430665,2.187957,Mal ús de contenidors i/o papereres,5,5.4,4,3.75,7,9.29,6,6.33,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
136,Sant Andreu,Sant Andreu,Carrer de Neopàtria,82,41.4286822,2.1896865,Mal ús de contenidors i/o papereres,6,2,4,3.5,7,2.29,6,6.83,Eliminat,Eliminat,Eliminat,Eliminat,2,4,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
137,Sant Andreu,el Bon Pastor,Carrer de Sant Adrià,121,41.436287,2.205034,Mala praxi comercial,6,4.83,5,2.4,6,6.67,5,4.4,1,1,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
138,Sant Andreu,el Bon Pastor,Passeig d'Enric Sanchís,24,41.434376,2.205505,Mal ús de contenidors i/o papereres,6,25.5,5,9,6,9.17,4,11.25,6,9.83,3,7,2,19,2,3,2,2.5,3,5.33
139,Sant Andreu,el Bon Pastor,Carrer de Sant Adrià ,103,41.436157,2.203834,Mala praxi comercial,6,5,5,6,6,10.67,5,8.4,6,5.67,3,5.33,2,1.5,2,0,2,2,3,0.67
140,Sant Andreu,el Bon Pastor,Carrer de l'Estadella,98,41.4355944,2.2085273,Poca afluència de gent,6,1.17,5,2,6,2.83,5,5.6,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
